delta_x,delta_y,rate_pred_s
-13,-2,0.0011306026947131616
-12,-2,0.002314614397749694
-11,-2,0.004196811865630548
-10,-2,0.007842024843996038
-9,-2,0.012213009814370604
-8,-2,0.02030198508233484
-7,-2,0.03293222127337987
-6,-2,0.052210666179102395
-5,-2,0.07616261480918003
-4,-2,0.11442913402851725
-3,-2,0.1631544687595302
-2,-2,0.22255044766012128
-1,-2,0.274825645510358
0,-2,0.31937501332562984
1,-2,0.2799861153637534
2,-2,0.22108689521623093
3,-2,0.16672902857553357
4,-2,0.11450303896019093
5,-2,0.0780470601697296
6,-2,0.05007118902709028
7,-2,0.0322510075922003
8,-2,0.02006722164397047
9,-2,0.013271281098788537
10,-2,0.007691433062819878
11,-2,0.004254670646200689
12,-2,0.002167689602481571
13,-2,0.0011881506918253967
14,-2,0.0003650837827066012
-14,-1,0.0004944373106467652
-13,-1,0.0014106715975697082
-12,-1,0.0023784586574030872
-11,-1,0.004814529098279072
-10,-1,0.008696437875406797
-9,-1,0.013757567168691892
-8,-1,0.023379697614344806
-7,-1,0.03776836617803927
-6,-1,0.06124636247490045
-5,-1,0.09296664977271199
-4,-1,0.13684741001484133
-3,-1,0.1959155053358079
-2,-1,0.27752104574475267
-1,-1,0.28250850292781776
0,-1,0.19156314063893845
1,-1,0.28265284911949246
2,-1,0.2786093077223315
3,-1,0.204942626485478
4,-1,0.13752569657546365
5,-1,0.08937416849881115
6,-1,0.05999180445883832
7,-1,0.0366709202331029
8,-1,0.02436289839128032
9,-1,0.014727534534406143
10,-1,0.008092125953660637
11,-1,0.005127897382089298
12,-1,0.0025175384665667563
13,-1,0.0012923726141106245
14,-1,0.000489322958707398
-14,0,0.0005118414876818272
-13,0,0.0014593615667333876
-12,0,0.002799542593948213
-11,0,0.005476363354778772
-10,0,0.009524574916408573
-9,0,0.015134171923011704
-8,0,0.025511888775161192
-7,0,0.042469367741789624
-6,0,0.06521528816763382
-5,0,0.10085965277234758
-4,0,0.15393590344842425
-3,0,0.21956724999907587
-2,0,0.3111151930992341
-1,0,0.18621509536028744
0,0,0.003724516685884539
1,0,0.18718695658428514
2,0,0.31105604720966207
3,0,0.22705069002634135
4,0,0.15496216278409916
5,0,0.10184717176386683
6,0,0.06501907508595912
7,0,0.04128896213970278
8,0,0.026322512091774164
9,0,0.015758026290942147
