theta_x_deg,theta_y_deg,counts
22.336778102363162,-36.08248770381742,2
22.336778102363162,-34.36427400363564,2
22.336778102363162,-32.64606030345386,5
22.336778102363162,-29.209632903090295,6
22.336778102363162,-27.49141920290851,7
22.336778102363162,-24.054991802544947,8
22.336778102363162,-22.33677810236317,7
22.336778102363162,-18.900350701999603,7
22.336778102363162,-15.463923301636038,11
22.336778102363162,-12.027495901272475,15
22.336778102363162,-10.309282201090694,18
22.336778102363162,-6.872854800727129,11
22.336778102363162,-3.4364274003635664,13
22.336778102363162,-3.552713678800501e-15,16
22.336778102363162,3.436427400363563,20
22.336778102363162,6.872854800727126,17
22.336778102363162,10.309282201090689,15
22.336778102363162,12.02749590127247,11
22.336778102363162,15.463923301636033,13
22.336778102363162,18.9003507019996,7
22.336778102363162,22.336778102363162,11
22.336778102363162,24.054991802544944,8
22.336778102363162,27.49141920290851,8
22.336778102363162,29.209632903090288,3
22.336778102363162,32.64606030345386,1
22.336778102363162,34.364274003635636,9
22.336778102363162,36.082487703817414,2
24.054991802544944,-34.36427400363564,1
24.054991802544944,-32.64606030345386,3
24.054991802544944,-29.209632903090295,3
24.054991802544944,-27.49141920290851,3
24.054991802544944,-24.054991802544947,4
24.054991802544944,-22.33677810236317,12
24.054991802544944,-18.900350701999603,10
24.054991802544944,-15.463923301636038,11
24.054991802544944,-12.027495901272475,16
24.054991802544944,-10.309282201090694,16
24.054991802544944,-6.872854800727129,15
24.054991802544944,-3.4364274003635664,17
24.054991802544944,-3.552713678800501e-15,15
24.054991802544944,3.436427400363563,10
24.054991802544944,6.872854800727126,9
24.054991802544944,10.309282201090689,14
24.054991802544944,12.02749590127247,10
24.054991802544944,15.463923301636033,6
24.054991802544944,18.9003507019996,15
24.054991802544944,22.336778102363162,10
24.054991802544944,24.054991802544944,4
24.054991802544944,27.49141920290851,6
24.054991802544944,29.209632903090288,6
24.054991802544944,34.364274003635636,2
27.49141920290851,-34.36427400363564,5
27.49141920290851,-32.64606030345386,2
27.49141920290851,-29.209632903090295,3
27.49141920290851,-27.49141920290851,3
27.49141920290851,-24.054991802544947,6
27.49141920290851,-22.33677810236317,5
27.49141920290851,-18.900350701999603,8
27.49141920290851,-15.463923301636038,12
27.49141920290851,-12.027495901272475,9
27.49141920290851,-10.309282201090694,11
27.49141920290851,-6.872854800727129,13
27.49141920290851,-3.4364274003635664,9
27.49141920290851,-3.552713678800501e-15,17
27.49141920290851,3.436427400363563,9
27.49141920290851,6.872854800727126,12
27.49141920290851,10.309282201090689,6
27.49141920290851,12.02749590127247,10
27.49141920290851,15.463923301636033,7
27.49141920290851,18.9003507019996,7
27.49141920290851,22.336778102363162,7
27.49141920290851,24.054991802544944,2
27.49141920290851,27.49141920290851,7
27.49141920290851,29.209632903090288,1
27.49141920290851,32.64606030345386,3
29.209632903090288,-34.36427400363564,1
29.209632903090288,-32.64606030345386,3
29.209632903090288,-29.209632903090295,5
29.209632903090288,-27.49141920290851,2
29.209632903090288,-24.054991802544947,3
29.209632903090288,-22.33677810236317,7
29.209632903090288,-18.900350701999603,6
29.209632903090288,-15.463923301636038,3
29.209632903090288,-12.027495901272475,9
29.209632903090288,-10.309282201090694,12
29.209632903090288,-6.872854800727129,10
29.209632903090288,-3.4364274003635664,10
29.209632903090288,-3.552713678800501e-15,5
29.209632903090288,3.436427400363563,12
29.209632903090288,6.872854800727126,8
29.209632903090288,10.309282201090689,8
29.209632903090288,12.02749590127247,3
29.209632903090288,15.463923301636033,1
29.209632903090288,18.9003507019996,5
29.209632903090288,22.336778102363162,4
29.209632903090288,24.054991802544944,10
29.209632903090288,27.49141920290851,5
29.209632903090288,29.209632903090288,5
29.209632903090288,32.64606030345386,3
29.209632903090288,34.364274003635636,1
29.209632903090288,36.082487703817414,2
29.209632903090288,37.8007014039992,1
32.64606030345386,-34.36427400363564,1
32.64606030345386,-32.64606030345386,3
32.64606030345386,-29.209632903090295,2
32.64606030345386,-27.49141920290851,3
32.64606030345386,-24.054991802544947,1
32.64606030345386,-22.33677810236317,5
32.64606030345386,-18.900350701999603,3
32.64606030345386,-15.463923301636038,7
32.64606030345386,-12.027495901272475,12
32.64606030345386,-10.309282201090694,6
32.64606030345386,-6.872854800727129,9
32.64606030345386,-3.4364274003635664,6
32.64606030345386,-3.552713678800501e-15,5
32.64606030345386,3.436427400363563,9
32.64606030345386,6.872854800727126,10
32.64606030345386,10.309282201090689,6
32.64606030345386,12.02749590127247,5
32.64606030345386,15.463923301636033,7
32.64606030345386,18.9003507019996,2
32.64606030345386,22.336778102363162,3
32.64606030345386,24.054991802544944,3
32.64606030345386,27.49141920290851,2
32.64606030345386,29.209632903090288,2
32.64606030345386,32.64606030345386,3
32.64606030345386,34.364274003635636,1
34.364274003635636,-37.8007014039992,2
34.364274003635636,-32.64606030345386,1
34.364274003635636,-29.209632903090295,1
34.364274003635636,-27.49141920290851,2
34.364274003635636,-24.054991802544947,2
34.364274003635636,-22.33677810236317,6
34.364274003635636,-18.900350701999603,2
34.364274003635636,-15.463923301636038,4
34.364274003635636,-12.027495901272475,2
34.364274003635636,-10.309282201090694,7
34.364274003635636,-6.872854800727129,5
34.364274003635636,-3.4364274003635664,5
34.364274003635636,-3.552713678800501e-15,3
34.364274003635636,3.436427400363563,3
34.364274003635636,6.872854800727126,8
34.364274003635636,10.309282201090689,5
